# night,n_img_proc,n_img_raw,size_img_proc,size_conf_proc,size_cat_proc,size_img_raw
20120519,21,54,2117885.62,673942.50,171399.38,5712044.06
20120521,21,54,2039003.44,664124.06,122602.50,5542177.50
20120528,21,54,2026625.62,666362.81,109895.62,5513371.88
20120530,21,54,1986108.75,662580.00,145279.69,5391613.12
20120601,88,227,8461440.00,2754191.25,482675.62,23318699.06
20120602,63,162,6087563.44,1988395.31,408529.69,16460299.69
20120603,42,108,3981450.94,1321841.25,322264.69,10792504.69
20120610,21,54,2059405.31,662172.19,158481.56,5547434.06
20120612,42,108,4030962.19,1321028.44,216750.94,10955790.00
20120617,21,54,2031089.06,663224.06,116935.31,5501998.12
20120618,7,12,638100.00,232509.38,28527.19,1123087.50
20120620,21,54,2053198.12,658853.44,106526.25,5538054.38
20120702,42,108,3989984.06,1326375.00,332468.44,10795168.12
20120719,63,162,5904281.25,1994262.19,412008.75,16050521.25
20120720,63,162,5949357.19,1997257.50,425480.62,16156634.06
20120725,21,54,1940310.00,663516.56,147054.38,5211315.00
20120728,42,108,3935655.00,1323115.31,269805.94,10646336.25
20120729,21,54,2011320.00,665083.12,152375.62,5439192.19
20120730,21,54,2083289.06,675000.00,158236.88,5601448.12
20120807,42,114,3490571.25,1364034.38,346907.81,9442364.06
20120808,63,168,5474815.31,2022030.00,547776.56,14830931.25
20120810,21,54,2030602.50,659385.00,148106.25,5528978.44
20120811,21,54,1979575.31,655737.19,113937.19,5379437.81
20120812,21,60,1492737.19,705495.94,171151.88,4039059.38
20120824,7,12,622732.50,233870.62,44957.81,1084511.25
20120825,51,132,4601550.94,1651466.25,402069.38,12022602.19
20120827,21,54,2125890.00,672305.62,197488.12,5709251.25
20120828,42,108,4055166.56,1313192.81,216857.81,11047221.56
20120829,21,54,1961229.38,657278.44,94390.31,5330393.44
20120831,21,54,1969641.56,659244.38,144779.06,5343676.88
20120901,21,54,2021540.62,663811.88,197333.44,5410541.25
20120903,21,54,1851240.94,655042.50,100167.19,5314339.69
20120908,63,162,5864099.06,1971475.31,404932.50,16109828.44
20120909,63,168,5498648.44,2010909.38,382727.81,15273832.50
20120910,63,162,6029116.88,1974968.44,429530.62,16470630.00
